id,type,housenumber,street,city,county,state,country,postcode,longitude,latitude
2178382077,node,802,SE Everett Mall Way,,,,,98208,-122.2221158,47.9093783
2197329413,node,26906,92nd Avenue Northwest,Stanwood,,WA,,98282,-122.3579095,48.2403962
2197329421,node,27008,92nd Ave. NW,,,,,,-122.3591674,48.2408018
2197329425,node,9123,271st Street Northwest,Stanwood,,,,,-122.3571582,48.242274
2197329427,node,26802,92nd Avenue Northwest,Stanwood,,WA,,98292,-122.3587034,48.2402742
2197329428,node,27008,92nd Avenue Northwest,Stanwood,,WA,,98292,-122.3591674,48.2408018
2209282195,node,227,128th Street Southwest,Everett,,WA,,98204,-122.237224,47.8822273
2209282215,node,227,128th Street Southwest,Everett,,WA,,98204,-122.237224,47.8822273
2209286588,node,16310,Bothell-Everett Highway,Mill Creek,,WA,,98012,-122.219787,47.8498783
2275995901,node,1224,140th Street Northwest,Marysville,,WA,,,-122.249252,48.1227861
2276456331,node,16924,Twin Lakes Avenue,Marysville,,WA,,98271,-122.1925834,48.1501505
2276456336,node,17101,27th Avenue Northeast,Marysville,,WA,,98271,-122.1932266,48.1511433
2276456347,node,17101,27th Avenue Northeast,Marysville,,WA,,98271,-122.1932266,48.1511433
2292852552,node,16820,Smokey Point Boulevard,Arlington,,WA,,98223,-122.1834934,48.1495291
2292874950,node,3323,169th Place Northeast,Arlington,,WA,,98223,-122.1851059,48.1504162
2293188431,node,10208,State Avenue,Marysville,,,,98271,-122.1740308,48.0876096
2293188434,node,10208,State Avenue,Marysville,,,,98271,-122.1740308,48.0876096
2293201735,node,9815,State Avenue,Marysville,,WA,,98270,-122.171934,48.0845988
2293203462,node,9501,State Avenue,Marysville,,WA,,98270,-122.1731533,48.0818404
2293289342,node,9214,State Avenue,Marysville,,WA,,98270,-122.175326,48.0797416
2294789097,node,3431,180th Street Southeast,Bothell,,,,98012,-122.18645,47.8349749
2295373475,node,1375,State Ave,Marysville,,WA,,98270,-122.177183,48.0675142
2295386659,node,107,West Main Street,Monroe,,,,98272,-121.971267,47.855752
2295468988,node,1104,State Avenue,Marysville,,,,98270,-122.1766185,48.0607683
2295468989,node,1102,State Avenue,Marysville,,,,98270,-122.176621,48.0606828
2295468990,node,1108,State Avenue,Marysville,,,,98270,-122.176616,48.0608538
2308211352,node,18629,Stevens Pass Highway,Monroe,,WA,,98272,-121.9807839,47.8623246
